index,url,status,mimeType,out_path,startedDateTime,bodySize
1,https://www.gstatic.com/recaptcha/api2/logo_48.png,200,image/png,www.gstatic.com\recaptcha\api2\logo_48.png,2025-10-18T08:34:38.559Z,2228
26,https://lgn.edu.gov.il/nidp/edu/assets/icons/logo_israel.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\icons\logo_israel.svg,2025-10-18T08:34:54.913Z,100629
27,https://lgn.edu.gov.il/nidp/edu/assets/icons/youtube.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\icons\youtube.svg,2025-10-18T08:34:54.914Z,488
28,https://lgn.edu.gov.il/nidp/edu/assets/icons/twitter.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\icons\twitter.svg,2025-10-18T08:34:54.914Z,965
29,https://lgn.edu.gov.il/nidp/edu/assets/icons/instegram.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\icons\instegram.svg,2025-10-18T08:34:54.914Z,993
30,https://lgn.edu.gov.il/nidp/edu/assets/icons/facebook.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\icons\facebook.svg,2025-10-18T08:34:54.914Z,700
31,https://lgn.edu.gov.il/nidp/edu/assets/images/play-movie.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\images\play-movie.svg,2025-10-18T08:34:54.914Z,1086
32,https://lgn.edu.gov.il/nidp/edu/assets/images/guide-computer.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\images\guide-computer.svg,2025-10-18T08:34:54.914Z,2067
33,https://lgn.edu.gov.il/nidp/edu/assets/images/accessibility.png,200,image/png,lgn.edu.gov.il\nidp\edu\assets\images\accessibility.png,2025-10-18T08:34:54.914Z,456
40,https://www.gstatic.com/recaptcha/api2/logo_48.png,200,image/png,www.gstatic.com\recaptcha\api2\logo_48_1.png,2025-10-18T08:34:55.563Z,2228
44,https://lgn.edu.gov.il/nidp/edu/assets/icons/logo_israel.svg,200,image/svg+xml,lgn.edu.gov.il\nidp\edu\assets\icons\logo_israel_1.svg,2025-10-18T08:34:55.730Z,100629
